seq_no=163,	ch0=  26, ch1= 368, ch2= 805, ch3= 291, ch4=   0, ch5= 455, ts=1714038040121635,	delta=835,
seq_no=164,	ch0=  97, ch1= 261, ch2= 846, ch3= 371, ch4=   0, ch5= 407, ts=1714038040122480,	delta=845,
seq_no=165,	ch0= 182, ch1= 162, ch2= 856, ch3= 429, ch4=   0, ch5= 330, ts=1714038040123331,	delta=851,
seq_no=166,	ch0= 273, ch1=  79, ch2= 819, ch3= 482, ch4=   0, ch5= 244, ts=1714038040124166,	delta=835,
seq_no=167,	ch0= 375, ch1=   5, ch2= 779, ch3= 526, ch4=  21, ch5= 184, ts=1714038040125002,	delta=836,
seq_no=168,	ch0= 458, ch1=   0, ch2= 709, ch3= 541, ch4=  64, ch5= 119, ts=1714038040125847,	delta=845,
seq_no=169,	ch0= 536, ch1=   0, ch2= 610, ch3= 503, ch4= 128, ch5=  70, ts=1714038040126695,	delta=848,
seq_no=170,	ch0= 642, ch1=  11, ch2= 578, ch3= 534, ch4= 242, ch5=  36, ts=1714038040127531,	delta=836,
seq_no=171,	ch0= 705, ch1=  55, ch2= 356, ch3= 508, ch4= 272, ch5=   0, ts=1714038040128371,	delta=840,
seq_no=172,	ch0= 758, ch1=  81, ch2= 266, ch3= 459, ch4= 362, ch5=   0, ts=1714038040129211,	delta=840,
seq_no=173,	ch0= 757, ch1= 197, ch2= 161, ch3= 383, ch4= 396, ch5=   0, ts=1714038040130054,	delta=843,
seq_no=174,	ch0= 741, ch1= 294, ch2=  68, ch3= 297, ch4= 439, ch5=   2, ts=1714038040130902,	delta=848,
seq_no=175,	ch0= 698, ch1= 410, ch2=  17, ch3= 219, ch4= 472, ch5=  25, ts=1714038040132010,	delta=1108,
seq_no=176,	ch0= 635, ch1= 510, ch2=   0, ch3= 151, ch4= 480, ch5=  80, ts=1714038040132623,	delta=613,
seq_no=177,	ch0= 548, ch1= 606, ch2=   0, ch3=  92, ch4= 480, ch5= 142, ts=1714038040133433,	delta=810,
seq_no=178,	ch0= 397, ch1= 683, ch2=   0, ch3=  73, ch4= 468, ch5= 228, ts=1714038040134274,	delta=841,
seq_no=179,	ch0= 320, ch1= 740, ch2=  75, ch3=   0, ch4= 426, ch5= 297, ts=1714038040135125,	delta=851,
seq_no=180,	ch0= 229, ch1= 777, ch2=  90, ch3=   0, ch4= 375, ch5= 419, ts=1714038040135947,	delta=822,
seq_no=181,	ch0= 182, ch1= 840, ch2= 205, ch3=   0, ch4= 309, ch5= 390, ts=1714038040136791,	delta=844,
seq_no=182,	ch0= 192, ch1= 738, ch2= 346, ch3=   1, ch4= 192, ch5= 453, ts=1714038040137632,	delta=841,
seq_no=183,	ch0=   0, ch1= 707, ch2= 466, ch3=  40, ch4= 162, ch5= 484, ts=1714038040138471,	delta=839,
seq_no=184,	ch0=   0, ch1= 637, ch2= 567, ch3=  72, ch4= 107, ch5= 506, ts=1714038040139324,	delta=853,
seq_no=185,	ch0=   0, ch1= 548, ch2= 674, ch3= 145, ch4=  50, ch5= 501, ts=1714038040140158,	delta=834,
seq_no=186,	ch0=   0, ch1= 448, ch2= 760, ch3= 226, ch4=   9, ch5= 487, ts=1714038040140996,	delta=838,
seq_no=187,	ch0=  40, ch1= 335, ch2= 816, ch3= 320, ch4=   0, ch5= 442, ts=1714038040141837,	delta=841,
seq_no=188,	ch0= 112, ch1= 231, ch2= 849, ch3= 385, ch4=   0, ch5= 383, ts=1714038040142690,	delta=853,
seq_no=189,	ch0= 192, ch1= 146, ch2= 856, ch3= 437, ch4=   0, ch5= 321, ts=1714038040143522,	delta=832,
seq_no=190,	ch0= 303, ch1=  70, ch2= 813, ch3= 487, ch4=   0, ch5= 214, ts=1714038040144365,	delta=843,
seq_no=191,	ch0= 402, ch1=   0, ch2= 771, ch3= 530, ch4=  37, ch5= 184, ts=1714038040145204,	delta=839,
seq_no=192,	ch0= 509, ch1=   0, ch2= 696, ch3= 551, ch4=  84, ch5= 123, ts=1714038040146095,	delta=891,
seq_no=193,	ch0= 548, ch1=   0, ch2= 572, ch3= 481, ch4= 149, ch5=  40, ts=1714038040146902,	delta=807,
seq_no=194,	ch0= 662, ch1=   9, ch2= 550, ch3= 534, ch4= 265, ch5=  31, ts=1714038040147730,	delta=828,
