seq_no=148,	ch0= 116, ch1= 217, ch2= 850, ch3= 270, ch4=   0, ch5= 270, ts=1714036173293460,	delta=840,
seq_no=149,	ch0= 215, ch1= 119, ch2= 856, ch3= 306, ch4=   0, ch5= 221, ts=1714036173294302,	delta=842,
seq_no=150,	ch0= 298, ch1=  50, ch2= 819, ch3= 327, ch4=   2, ch5= 176, ts=1714036173295147,	delta=845,
seq_no=151,	ch0= 405, ch1=   0, ch2= 759, ch3= 356, ch4=  26, ch5= 118, ts=1714036173295988,	delta=841,
seq_no=152,	ch0= 505, ch1=   0, ch2= 671, ch3= 368, ch4=  49, ch5=  23, ts=1714036173296829,	delta=841,
seq_no=153,	ch0= 592, ch1=   0, ch2= 582, ch3= 386, ch4= 154, ch5=  30, ts=1714036173297670,	delta=841,
seq_no=154,	ch0= 752, ch1=   0, ch2= 512, ch3= 353, ch4= 119, ch5=   5, ts=1714036173298509,	delta=839,
seq_no=155,	ch0= 709, ch1=  54, ch2= 352, ch3= 292, ch4= 201, ch5=   0, ts=1714036173299356,	delta=847,
seq_no=156,	ch0= 758, ch1= 133, ch2= 244, ch3= 292, ch4= 237, ch5=   0, ts=1714036173300196,	delta=840,
seq_no=157,	ch0= 749, ch1= 229, ch2= 139, ch3= 241, ch4= 277, ch5=   0, ts=1714036173301041,	delta=845,
seq_no=158,	ch0= 726, ch1= 338, ch2=  58, ch3= 188, ch4= 301, ch5=   0, ts=1714036173302089,	delta=1048,
seq_no=159,	ch0= 672, ch1= 450, ch2=   0, ch3= 130, ch4= 325, ch5=  20, ts=1714036173302822,	delta=733,
seq_no=160,	ch0= 600, ch1= 540, ch2=   0, ch3=  85, ch4= 325, ch5=  76, ts=1714036173303576,	delta=754,
seq_no=161,	ch0= 502, ch1= 634, ch2=  75, ch3=  38, ch4= 320, ch5= 119, ts=1714036173304409,	delta=833,
seq_no=162,	ch0= 413, ch1= 704, ch2=   0, ch3=  11, ch4= 308, ch5= 210, ts=1714036173305249,	delta=840,
seq_no=163,	ch0= 314, ch1= 707, ch2=  64, ch3=   0, ch4= 349, ch5= 212, ts=1714036173306088,	delta=839,
seq_no=164,	ch0= 301, ch1= 762, ch2= 170, ch3=   0, ch4= 206, ch5= 266, ts=1714036173306933,	delta=845,
seq_no=165,	ch0=  72, ch1= 784, ch2= 247, ch3=   0, ch4= 181, ch5= 293, ts=1714036173307770,	delta=837,
seq_no=166,	ch0=  37, ch1= 726, ch2= 466, ch3=   0, ch4= 145, ch5= 325, ts=1714036173308609,	delta=839,
seq_no=167,	ch0=   0, ch1= 696, ch2= 450, ch3=  32, ch4=  96, ch5= 391, ts=1714036173309454,	delta=845,
seq_no=168,	ch0=   0, ch1= 616, ch2= 594, ch3=  64, ch4=  53, ch5= 370, ts=1714036173310360,	delta=906,
seq_no=169,	ch0=   0, ch1= 521, ch2= 690, ch3= 117, ch4=  27, ch5= 357, ts=1714036173311176,	delta=816,
seq_no=170,	ch0=   2, ch1= 414, ch2= 773, ch3= 174, ch4=   0, ch5= 334, ts=1714036173311990,	delta=814,
seq_no=171,	ch0=  64, ch1= 303, ch2= 832, ch3= 229, ch4=   0, ch5= 305, ts=1714036173312822,	delta=832,
seq_no=172,	ch0= 133, ch1= 201, ch2= 861, ch3= 269, ch4=   0, ch5= 260, ts=1714036173313664,	delta=842,
seq_no=173,	ch0= 233, ch1= 118, ch2= 849, ch3= 312, ch4=   0, ch5= 201, ts=1714036173314503,	delta=839,
seq_no=174,	ch0= 334, ch1=  26, ch2= 814, ch3= 349, ch4=   0, ch5= 160, ts=1714036173315367,	delta=864,
