seq_no=186,	ch0= 781, ch1=  33, ch2=1592, ch3=1081, ch4=  64, ch5= 423, ts=1714038002862609,	delta=885,
seq_no=187,	ch0= 992, ch1=   0, ch2=1438, ch3=1124, ch4= 172, ch5= 286, ts=1714038002863416,	delta=807,
seq_no=188,	ch0=1179, ch1=   0, ch2=1248, ch3=1147, ch4= 305, ch5= 181, ts=1714038002864257,	delta=841,
seq_no=189,	ch0=1333, ch1=   0, ch2=1023, ch3=1141, ch4= 455, ch5=  78, ts=1714038002865095,	delta=838,
seq_no=190,	ch0=1437, ch1=  90, ch2= 793, ch3=1064, ch4= 589, ch5=   2, ts=1714038002865939,	delta=844,
seq_no=191,	ch0=1507, ch1= 239, ch2= 554, ch3= 960, ch4= 720, ch5=   0, ts=1714038002866789,	delta=850,
seq_no=192,	ch0=1548, ch1= 421, ch2= 337, ch3= 805, ch4= 833, ch5=   0, ts=1714038002867626,	delta=837,
seq_no=193,	ch0=1579, ch1= 617, ch2= 185, ch3= 644, ch4= 895, ch5=   0, ts=1714038002868465,	delta=839,
seq_no=194,	ch0=1377, ch1= 845, ch2=  29, ch3= 439, ch4= 967, ch5=  83, ts=1714038002869304,	delta=839,
seq_no=195,	ch0=1260, ch1=1028, ch2=   0, ch3= 341, ch4=1012, ch5= 269, ts=1714038002870193,	delta=889,
seq_no=196,	ch0=1103, ch1=1283, ch2=   0, ch3= 222, ch4=1025, ch5= 322, ts=1714038002871006,	delta=813,
seq_no=197,	ch0= 897, ch1=1397, ch2=   0, ch3= 105, ch4= 999, ch5= 485, ts=1714038002871836,	delta=830,
seq_no=198,	ch0= 699, ch1=1519, ch2= 109, ch3=  33, ch4= 916, ch5= 621, ts=1714038002872837,	delta=1001,
seq_no=199,	ch0= 476, ch1=1596, ch2= 284, ch3=   0, ch4= 812, ch5= 749, ts=1714038002873561,	delta=724,
seq_no=200,	ch0= 289, ch1=1600, ch2= 490, ch3=   0, ch4= 667, ch5= 882, ts=1714038002874378,	delta=817,
seq_no=201,	ch0= 139, ch1=1550, ch2= 704, ch3=   0, ch4= 525, ch5= 968, ts=1714038002875226,	delta=848,
seq_no=202,	ch0=   2, ch1=1447, ch2= 937, ch3=  31, ch4= 369, ch5=1023, ts=1714038002876044,	delta=818,
seq_no=203,	ch0=   0, ch1=1310, ch2=1200, ch3= 174, ch4= 242, ch5=1043, ts=1714038002876884,	delta=840,
seq_no=204,	ch0=   0, ch1=1197, ch2=1360, ch3= 323, ch4= 142, ch5=1025, ts=1714038002877724,	delta=840,
seq_no=205,	ch0=   0, ch1= 879, ch2=1544, ch3= 489, ch4=   0, ch5=1010, ts=1714038002878629,	delta=905,
seq_no=206,	ch0=  42, ch1= 681, ch2=1688, ch3= 693, ch4=   0, ch5= 964, ts=1714038002879434,	delta=805,
seq_no=207,	ch0= 229, ch1= 493, ch2=1804, ch3= 791, ch4=  28, ch5= 839, ts=1714038002880264,	delta=830,
