seq_no=185,	ch0=1518, ch1=  78, ch2=2699, ch3=  26, ch4= 133, ch5= 262, ts=1713174155865152,	delta=840,
seq_no=186,	ch0=1105, ch1= 324, ch2=2719, ch3=   9, ch4= 173, ch5= 238, ts=1713174155865994,	delta=842,
seq_no=187,	ch0= 704, ch1= 666, ch2=2726, ch3=  17, ch4= 196, ch5= 220, ts=1713174155866937,	delta=943,
seq_no=188,	ch0= 394, ch1=1071, ch2=2723, ch3=  22, ch4= 240, ch5= 206, ts=1713174155867716,	delta=779,
seq_no=189,	ch0=  84, ch1=1463, ch2=2681, ch3=  34, ch4= 224, ch5=  40, ts=1713174155868532,	delta=816,
seq_no=190,	ch0=   0, ch1=1976, ch2=2657, ch3=  66, ch4= 253, ch5=  42, ts=1713174155869368,	delta=836,
seq_no=191,	ch0=   0, ch1=2305, ch2=2558, ch3=  86, ch4= 246, ch5=  37, ts=1713174155870210,	delta=842,
seq_no=192,	ch0=   0, ch1=2472, ch2=2127, ch3= 113, ch4= 234, ch5=  21, ts=1713174155871063,	delta=853,
seq_no=193,	ch0=  73, ch1=2528, ch2=1669, ch3= 157, ch4= 225, ch5=   6, ts=1713174155871892,	delta=829,
seq_no=194,	ch0= 334, ch1=2550, ch2=1207, ch3= 202, ch4= 207, ch5=   1, ts=1713174155872734,	delta=842,
seq_no=195,	ch0= 667, ch1=2560, ch2= 763, ch3= 233, ch4= 178, ch5=   0, ts=1713174155873574,	delta=840,
seq_no=196,	ch0=1027, ch1=2552, ch2= 392, ch3= 305, ch4= 128, ch5=   5, ts=1713174155874418,	delta=844,
seq_no=197,	ch0=1446, ch1=2531, ch2= 100, ch3= 235, ch4=  91, ch5=   4, ts=1713174155875269,	delta=851,
seq_no=198,	ch0=1857, ch1=2497, ch2=  13, ch3= 257, ch4=  54, ch5=  33, ts=1713174155876147,	delta=878,
seq_no=199,	ch0=2229, ch1=2407, ch2=  11, ch3= 247, ch4=  13, ch5=  70, ts=1713174155877021,	delta=874,
seq_no=200,	ch0=2402, ch1=1964, ch2=   0, ch3= 258, ch4=   1, ch5=  97, ts=1713174155877813,	delta=792,
seq_no=201,	ch0=2437, ch1=1546, ch2= 213, ch3= 253, ch4=  31, ch5= 171, ts=1713174155878701,	delta=888,
seq_no=202,	ch0=2463, ch1=1096, ch2= 377, ch3= 241, ch4=   0, ch5= 246, ts=1713174155879487,	delta=786,
seq_no=203,	ch0=2463, ch1= 697, ch2= 785, ch3= 207, ch4=   0, ch5= 229, ts=1713174155880327,	delta=840,
seq_no=204,	ch0=2456, ch1= 354, ch2=1222, ch3= 170, ch4=   0, ch5= 253, ts=1713174155881160,	delta=833,
seq_no=205,	ch0=2435, ch1=  76, ch2=1685, ch3= 130, ch4=   8, ch5= 265, ts=1713174155882002,	delta=842,
seq_no=206,	ch0=2392, ch1=  23, ch2=2144, ch3=  90, ch4=  30, ch5= 273, ts=1713174155882855,	delta=853,
seq_no=207,	ch0=2202, ch1=   9, ch2=2560, ch3=  59, ch4=  64, ch5= 271, ts=1713174155883687,	delta=832,
