seq_no=151,	ch0= 511, ch1=  35, ch2= 669, ch3= 436, ch4=  76, ch5=  58, ts=1714038097110332,	delta=841,
seq_no=152,	ch0= 601, ch1=   0, ch2= 566, ch3= 419, ch4=  64, ch5=  31, ts=1714038097111180,	delta=848,
seq_no=153,	ch0= 605, ch1=   0, ch2= 480, ch3= 466, ch4= 187, ch5=  36, ts=1714038097112015,	delta=835,
seq_no=154,	ch0= 722, ch1=  45, ch2= 412, ch3= 375, ch4= 242, ch5=   0, ts=1714038097112858,	delta=843,
seq_no=155,	ch0= 765, ch1= 144, ch2= 230, ch3= 342, ch4= 284, ch5=   0, ts=1714038097113701,	delta=843,
seq_no=156,	ch0= 760, ch1= 238, ch2= 130, ch3= 266, ch4= 318, ch5=   0, ts=1714038097114540,	delta=839,
seq_no=157,	ch0= 728, ch1= 345, ch2=  49, ch3= 211, ch4= 352, ch5=   0, ts=1714038097115400,	delta=860,
seq_no=158,	ch0= 672, ch1= 456, ch2=   0, ch3= 151, ch4= 382, ch5=  29, ts=1714038097116469,	delta=1069,
seq_no=159,	ch0= 586, ch1= 546, ch2=   0, ch3=  98, ch4= 385, ch5=  89, ts=1714038097117128,	delta=659,
seq_no=160,	ch0= 485, ch1= 640, ch2=   0, ch3=  54, ch4= 372, ch5= 125, ts=1714038097117925,	delta=797,
seq_no=161,	ch0= 400, ch1= 706, ch2=   5, ch3=  11, ch4= 350, ch5= 220, ts=1714038097118772,	delta=847,
seq_no=162,	ch0= 257, ch1= 773, ch2=  74, ch3=   0, ch4= 320, ch5= 292, ts=1714038097119595,	delta=823,
seq_no=163,	ch0= 177, ch1= 807, ch2= 158, ch3=   0, ch4= 277, ch5= 334, ts=1714038097120437,	delta=842,
seq_no=164,	ch0= 107, ch1= 769, ch2= 205, ch3=   0, ch4= 226, ch5= 460, ts=1714038097121277,	delta=840,
seq_no=165,	ch0=  66, ch1= 803, ch2= 366, ch3=  16, ch4= 158, ch5= 363, ts=1714038097122119,	delta=842,
seq_no=166,	ch0=  71, ch1= 685, ch2= 506, ch3=  36, ch4=  90, ch5= 415, ts=1714038097122974,	delta=855,
